_uid_,id,state,county,month,day,hour,minute,ve_forms,persons,peds,nhs,road_fnc,route,sp_jur,harm_ev,man_coll,rel_road,lgt_cond,weather,not_hour,not_min,arr_hour,arr_min,hosp_hr,hosp_mn,sch_bus,cf1,cf2,cf3,fatals,day_week,drunk_dr,st_case,city,milept,year,tway_id,tway_id2,rail,latitude,longitud,road_fnc_1,streetid
301,84,42,101,12,1,10,30,3,6,0,1,13,2,0,12,5,1,1,2,99,99,99,99,99,99,0,0,0,0,1,4,0,421135,6540,109.000000000000000,2004,US-1,DEVEREAUX AV,0000000,40.033883330000002,-75.074319439999996,13,27985
793,85,42,101,6,29,19,27,1,6,1,0,16,6,0,8,0,1,5,1,99,99,99,99,99,99,0,0,0,0,1,3,0,421026,6540,0.000000000000000,2004,YORK ST,99999999999999999999,0000000,39.991747220000001,-75.173580560000005,16,5385
109,86,42,101,10,29,99,99,1,1,0,0,16,6,0,33,0,2,1,2,99,99,99,99,99,99,0,0,0,0,1,6,0,421048,6540,0.000000000000000,2004,THIRTYFOURTH ST,SCHYULKILL EXPRESSWA,0000000,39.941861109999998,-75.197341670000000,16,39801
794,87,42,101,10,23,20,0,1,1,0,1,13,3,0,33,0,6,3,1,99,99,99,99,99,99,0,0,0,0,1,7,1,421079,6540,37.000000000000000,2004,SR-0611,YORK ST,0000000,39.989397220000001,-75.155561109999994,13,5743
200,88,42,101,10,9,0,30,2,3,0,0,13,3,0,12,8,1,3,1,0,31,0,38,1,3,0,0,0,0,1,7,1,421091,6540,43.000000000000000,2004,SR-532,SR-1020,0000000,40.131702779999998,-75.012230560000006,13,32006
302,89,42,101,11,26,3,8,1,1,0,0,14,3,0,19,0,4,3,1,99,99,99,99,99,99,0,0,0,0,1,6,1,421093,6540,25.000000000000000,2004,SR-1007,99999999999999999999,0000000,40.027686109999998,-75.028266669999994,14,37057
303,90,42,101,10,23,10,10,1,2,1,0,13,3,0,8,0,1,1,1,99,99,99,99,99,99,0,0,0,0,1,7,1,421126,6540,50.000000000000000,2004,SR-6001,99999999999999999999,0000000,40.042466670000003,-75.057022219999993,13,31276
304,91,42,101,9,10,18,5,1,3,1,0,16,5,0,8,0,1,1,1,99,99,99,99,99,99,0,0,0,0,1,6,0,421128,6540,0.000000000000000,2004,CRAIG ST,99999999999999999999,0000000,40.042016670000002,-75.029702779999994,16,26790
305,92,42,101,12,13,13,39,1,1,0,0,16,6,0,30,0,4,1,1,13,39,13,42,0,0,0,0,0,0,1,2,1,421201,6540,0.000000000000000,2004,RHAWN ST,99999999999999999999,0000000,40.051747220000003,-75.037619440000000,16,16072
110,93,42,101,8,19,2,0,2,5,0,1,13,3,0,12,5,1,3,1,99,99,99,99,99,99,0,0,0,0,1,5,0,421213,6540,47.000000000000000,2004,SR-2001,SUMMER ST,0000000,39.954208330000000,-75.139552780000002,13,20442
201,94,42,101,8,10,9,32,1,2,1,0,13,3,0,8,0,1,1,1,9,31,9,34,9,56,0,0,0,0,1,3,0,421248,6540,8.000000000000000,2004,SR-0532,SR-1018,0000000,40.085497220000001,-75.037355559999995,13,23492
306,95,42,101,11,23,17,24,1,2,1,0,13,3,0,8,0,1,5,1,17,24,17,29,0,0,0,0,0,0,1,3,0,421226,6540,47.000000000000000,2004,SR-2007,MARGARET ST,0000000,40.016777779999998,-75.083630560000003,13,8500
307,96,42,101,11,25,18,44,1,2,1,1,13,3,0,8,0,1,3,1,18,44,18,47,0,0,0,0,0,0,1,5,1,421237,6540,51.000000000000000,2004,SR-2009,COMLY ST,0000000,40.022147220000001,-75.063236110000005,13,36322
515,97,42,101,8,16,21,30,1,2,1,0,13,3,0,9,0,1,3,1,99,99,99,99,99,99,0,0,0,0,1,2,1,421270,6540,42.000000000000000,2004,SR-0291,99999999999999999999,0000000,39.905622219999998,-75.173558330000006,13,35825
676,98,42,101,9,27,8,20,1,10,0,0,16,6,0,14,0,7,1,1,99,99,99,99,99,99,0,0,0,0,1,2,0,421273,6540,0.000000000000000,2004,WHITAKER AV,99999999999999999999,0000000,40.034197220000003,-75.100336110000001,16,30789
516,99,42,101,11,9,13,42,2,2,0,0,13,3,0,12,5,1,1,1,13,42,13,47,99,99,0,0,0,0,1,3,0,421277,6540,10.000000000000000,2004,SR-3013,LINDBERGH AV,0000000,39.904155560000000,-75.240475000000004,13,10545
308,100,42,101,11,21,3,48,1,2,1,0,14,3,0,14,0,2,3,1,3,48,3,53,4,15,0,0,0,0,1,1,2,421280,6540,53.000000000000000,2004,SR-1007,99999999999999999999,0000000,40.051602780000003,-74.985050000000001,14,15865
202,101,42,101,12,22,21,37,1,4,1,0,16,6,0,8,0,4,3,1,21,36,21,41,22,3,0,0,0,0,2,4,1,421293,6540,0.000000000000000,2004,COMLY RD,NESTOR RD,0000000,40.103313890000003,-74.999797220000005,16,16268
795,102,42,101,8,20,2,20,1,1,0,0,13,3,0,42,0,6,3,1,99,99,99,99,99,99,0,0,0,0,1,6,1,421296,6540,6.000000000000000,2004,SR-6001,99999999999999999999,0000000,40.023908329999998,-75.132808330000003,13,37567
478,103,42,101,12,23,20,0,1,3,1,0,13,3,0,8,0,1,3,2,20,1,20,7,20,18,0,0,0,0,1,5,0,421339,6540,42.000000000000000,2004,SR-4002,99999999999999999999,0000000,40.050408330000003,-75.147958329999994,13,21223
309,104,42,101,12,22,15,27,1,1,0,0,14,3,0,30,0,4,1,1,15,29,15,36,16,6,0,0,0,0,1,4,0,421340,6540,93.000000000000000,2004,SR-2001,CROYDEN ST,0000000,39.995738889999998,-75.076636109999995,14,8140
111,105,42,101,4,28,7,30,2,2,0,1,11,1,0,25,0,3,1,1,99,99,99,99,99,99,0,0,0,0,1,4,0,421345,6540,221.000000000000000,2004,I-0095,99999999999999999999,0000000,39.960605559999998,-75.140147220000003,11,35009
